2025-07-14 16:49:01,613 - Connected to the database
2025-07-14 16:57:59,118 - Skipping: <PIL.Image.Image image mode=RGB size=2x1553 at 0x719D99F2B4D0>: image size: (2, 1553), new height: 224, new width: 0
2025-07-17 16:12:05,603 - Connected to the database
2025-07-17 16:12:34,413 - Skipping: <PIL.Image.Image image mode=RGB size=2560x9 at 0x7A3ED8258230>: image size: (2560, 9), new height: 0, new width: 224
2025-07-17 16:12:34,640 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3B060E8080>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:35,053 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3B059B1EE0>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:35,234 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3ED54E1970>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:35,351 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3F51E2F950>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:35,466 - Skipping: <PIL.Image.Image image mode=RGB size=2560x5 at 0x7A3B059CABA0>: image size: (2560, 5), new height: 0, new width: 224
2025-07-17 16:12:35,550 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3B060E8080>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:35,584 - Skipping: <PIL.Image.Image image mode=RGB size=2560x5 at 0x7A3B059CB830>: image size: (2560, 5), new height: 0, new width: 224
2025-07-17 16:12:35,650 - Skipping: <PIL.Image.Image image mode=RGB size=2409x3 at 0x7A3B059CBD40>: image size: (2409, 3), new height: 0, new width: 224
2025-07-17 16:12:35,651 - Skipping: <PIL.Image.Image image mode=RGB size=2560x3 at 0x7A3B059CB7A0>: image size: (2560, 3), new height: 0, new width: 224
2025-07-17 16:12:35,819 - Skipping: <PIL.Image.Image image mode=RGB size=2560x7 at 0x7A3B059C9F10>: image size: (2560, 7), new height: 0, new width: 224
2025-07-17 16:12:35,857 - Skipping: <PIL.Image.Image image mode=RGB size=2560x3 at 0x7A3F51E48AA0>: image size: (2560, 3), new height: 0, new width: 224
2025-07-17 16:12:36,103 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3B05927BF0>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:36,145 - Skipping: <PIL.Image.Image image mode=RGB size=2110x6 at 0x7A3F51E48C50>: image size: (2110, 6), new height: 0, new width: 224
2025-07-17 16:12:36,290 - Skipping: <PIL.Image.Image image mode=RGB size=2274x6 at 0x7A3F51E48F80>: image size: (2274, 6), new height: 0, new width: 224
2025-07-17 16:12:36,535 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3B059B3CB0>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:36,564 - Skipping: <PIL.Image.Image image mode=RGB size=1826x5 at 0x7A3F51E488F0>: image size: (1826, 5), new height: 0, new width: 224
2025-07-17 16:12:36,628 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3B059CB110>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:36,668 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3F51E48C50>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:36,696 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3F51E48920>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:36,854 - Skipping: <PIL.Image.Image image mode=RGB size=2206x2 at 0x7A3F51E48F80>: image size: (2206, 2), new height: 0, new width: 224
2025-07-17 16:12:36,883 - Skipping: <PIL.Image.Image image mode=RGB size=1895x4 at 0x7A3F51E49070>: image size: (1895, 4), new height: 0, new width: 224
2025-07-17 16:12:36,901 - Skipping: <PIL.Image.Image image mode=RGB size=2560x5 at 0x7A3F51E48D10>: image size: (2560, 5), new height: 0, new width: 224
2025-07-17 16:12:36,912 - Skipping: <PIL.Image.Image image mode=RGB size=2560x6 at 0x7A3F51E48FE0>: image size: (2560, 6), new height: 0, new width: 224
2025-07-17 16:12:37,116 - Skipping: <PIL.Image.Image image mode=RGB size=2560x8 at 0x7A3F51E49010>: image size: (2560, 8), new height: 0, new width: 224
2025-07-17 16:12:37,317 - Skipping: <PIL.Image.Image image mode=RGB size=2560x5 at 0x7A3F51E48920>: image size: (2560, 5), new height: 0, new width: 224
2025-07-17 16:12:37,526 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3B059C9850>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:12:38,946 - Skipping: <PIL.Image.Image image mode=RGB size=2560x5 at 0x7A3B05924A70>: image size: (2560, 5), new height: 0, new width: 224
2025-07-17 16:12:39,054 - Skipping: <PIL.Image.Image image mode=RGB size=2560x4 at 0x7A3F51E2F9E0>: image size: (2560, 4), new height: 0, new width: 224
2025-07-17 16:13:17,718 - Skipping: <PIL.Image.Image image mode=RGB size=2560x6 at 0x7A3B05542E70>: image size: (2560, 6), new height: 0, new width: 224
2025-07-17 16:13:27,644 - Skipping: <PIL.Image.Image image mode=RGB size=2560x3 at 0x7A3B055DB860>: image size: (2560, 3), new height: 0, new width: 224
2025-07-17 16:13:27,808 - Skipping: <PIL.Image.Image image mode=RGB size=2560x3 at 0x7A3B05545D30>: image size: (2560, 3), new height: 0, new width: 224
2025-07-17 16:13:28,206 - Skipping: <PIL.Image.Image image mode=RGB size=2560x3 at 0x7A3B05924D10>: image size: (2560, 3), new height: 0, new width: 224
2025-07-17 16:13:28,306 - Skipping: <PIL.Image.Image image mode=RGB size=2120x4 at 0x7A3F51E2FA70>: image size: (2120, 4), new height: 0, new width: 224
2025-07-17 16:13:28,958 - Skipping: <PIL.Image.Image image mode=RGB size=2560x6 at 0x7A3F51E48AD0>: image size: (2560, 6), new height: 0, new width: 224
2025-07-17 16:13:36,065 - Skipping: <PIL.Image.Image image mode=RGB size=2051x7 at 0x7A3B05542C60>: image size: (2051, 7), new height: 0, new width: 224
2025-07-17 16:13:36,485 - Skipping: <PIL.Image.Image image mode=RGB size=2074x3 at 0x7A3B059249B0>: image size: (2074, 3), new height: 0, new width: 224
